@relation malware
@ATTRIBUTE count numeric
@ATTRIBUTE pkgname string
@ATTRIBUTE ismalware numeric
@ATTRIBUTE p1 numeric
@ATTRIBUTE p2 numeric
@ATTRIBUTE p3 numeric
@ATTRIBUTE p4 numeric
@ATTRIBUTE p5 numeric
@ATTRIBUTE p6 numeric
@ATTRIBUTE p7 numeric
@ATTRIBUTE p8 numeric
@ATTRIBUTE p9 numeric
@ATTRIBUTE p10 numeric
@ATTRIBUTE p11 numeric
@ATTRIBUTE p12 numeric
@ATTRIBUTE p13 numeric
@ATTRIBUTE p14 numeric
@ATTRIBUTE p15 numeric
@ATTRIBUTE p16 numeric
@ATTRIBUTE p17 numeric
@ATTRIBUTE p18 numeric
@ATTRIBUTE p19 numeric
@ATTRIBUTE p20 numeric
@ATTRIBUTE p21 numeric
@ATTRIBUTE p22 numeric
@ATTRIBUTE p23 numeric
@ATTRIBUTE p24 numeric
@ATTRIBUTE p25 numeric
@ATTRIBUTE p26 numeric
@ATTRIBUTE p27 numeric
@ATTRIBUTE p28 numeric
@ATTRIBUTE p29 numeric
@ATTRIBUTE p30 numeric
@ATTRIBUTE p31 numeric
@ATTRIBUTE p32 numeric
@ATTRIBUTE p33 numeric
@ATTRIBUTE p34 numeric
@ATTRIBUTE p35 numeric
@ATTRIBUTE p36 numeric
@ATTRIBUTE p37 numeric
@ATTRIBUTE p38 numeric
@ATTRIBUTE p39 numeric
@ATTRIBUTE p40 numeric
@ATTRIBUTE p41 numeric
@ATTRIBUTE p42 numeric
@ATTRIBUTE p43 numeric
@ATTRIBUTE p44 numeric
@ATTRIBUTE p45 numeric
@ATTRIBUTE p46 numeric
@ATTRIBUTE p47 numeric
@ATTRIBUTE p48 numeric
@ATTRIBUTE p49 numeric
@ATTRIBUTE p50 numeric
@ATTRIBUTE p51 numeric
@ATTRIBUTE p52 numeric
@ATTRIBUTE p53 numeric
@ATTRIBUTE p54 numeric
@ATTRIBUTE p55 numeric
@ATTRIBUTE p56 numeric
@ATTRIBUTE p57 numeric
@ATTRIBUTE p58 numeric
@ATTRIBUTE p59 numeric
@ATTRIBUTE p60 numeric
@ATTRIBUTE p61 numeric
@ATTRIBUTE p62 numeric
@ATTRIBUTE p63 numeric
@ATTRIBUTE p64 numeric
@ATTRIBUTE p65 numeric
@ATTRIBUTE p66 numeric
@ATTRIBUTE p67 numeric
@ATTRIBUTE p68 numeric
@ATTRIBUTE p69 numeric
@ATTRIBUTE p70 numeric
@ATTRIBUTE p71 numeric
@ATTRIBUTE p72 numeric
@ATTRIBUTE p73 numeric
@ATTRIBUTE p74 numeric
@ATTRIBUTE p75 numeric
@ATTRIBUTE p76 numeric
@ATTRIBUTE p77 numeric
@ATTRIBUTE p78 numeric
@ATTRIBUTE p79 numeric
@ATTRIBUTE p80 numeric
@ATTRIBUTE p81 numeric
@ATTRIBUTE p82 numeric
@ATTRIBUTE p83 numeric
@ATTRIBUTE p84 numeric
@ATTRIBUTE p85 numeric
@ATTRIBUTE p86 numeric
@ATTRIBUTE p87 numeric
@ATTRIBUTE p88 numeric
@ATTRIBUTE p89 numeric
@ATTRIBUTE p90 numeric
@ATTRIBUTE p91 numeric
@ATTRIBUTE p92 numeric
@ATTRIBUTE p93 numeric
@ATTRIBUTE p94 numeric
@ATTRIBUTE p95 numeric
@ATTRIBUTE p96 numeric
@ATTRIBUTE p97 numeric
@ATTRIBUTE p98 numeric
@ATTRIBUTE p99 numeric
@ATTRIBUTE p100 numeric
@ATTRIBUTE p101 numeric
@ATTRIBUTE p102 numeric
@ATTRIBUTE p103 numeric
@ATTRIBUTE p104 numeric
@ATTRIBUTE p105 numeric
@ATTRIBUTE p106 numeric
@ATTRIBUTE p107 numeric
@ATTRIBUTE p108 numeric
@ATTRIBUTE p109 numeric
@ATTRIBUTE p110 numeric
@ATTRIBUTE p111 numeric
@ATTRIBUTE p112 numeric
@ATTRIBUTE p113 numeric
@ATTRIBUTE p114 numeric
@ATTRIBUTE p115 numeric
@ATTRIBUTE p116 numeric
@ATTRIBUTE p117 numeric
@ATTRIBUTE p118 numeric
@ATTRIBUTE p119 numeric
@ATTRIBUTE p120 numeric
@ATTRIBUTE p121 numeric
@ATTRIBUTE p122 numeric
@ATTRIBUTE p123 numeric
@ATTRIBUTE p124 numeric
@ATTRIBUTE p125 numeric
@ATTRIBUTE p126 numeric
@ATTRIBUTE p127 numeric
@ATTRIBUTE p128 numeric
@ATTRIBUTE p129 numeric
@ATTRIBUTE p130 numeric
@ATTRIBUTE p131 numeric
@ATTRIBUTE p132 numeric
@ATTRIBUTE p133 numeric
@ATTRIBUTE p134 numeric
@ATTRIBUTE p135 numeric
@ATTRIBUTE p136 numeric
@ATTRIBUTE p137 numeric
@ATTRIBUTE p138 numeric
@ATTRIBUTE p139 numeric
@ATTRIBUTE p140 numeric
@ATTRIBUTE p141 numeric
@ATTRIBUTE p142 numeric
@ATTRIBUTE p143 numeric
@ATTRIBUTE p144 numeric

@DATA
13,com.amazed2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,com.android.CSDFunctionG,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
15,com.android.backupconfirm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,com.android.bluetooth,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,com.android.browser,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,com.android.calculator2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,com.android.camera,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,com.android.certinstaller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,com.android.defcontainer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,com.android.htccontacts,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,com.android.htcdialer,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,com.android.mms,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
27,com.android.packageinstaller,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,com.android.phone,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
29,com.android.providers.applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,com.android.providers.calendar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,com.android.providers.contacts,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32,com.android.providers.downloads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,com.android.providers.downloads.ui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
